Forecast_Date,PCE_Actual,AR1_Forecast,XGB_Forecast,LSTM_Forecast,Ensemble_Forecast,Report_Date
2023-12-31,2.7673,,,,,2025-11-15
2024-01-31,2.6988,,,,,2025-11-15
2024-02-29,2.7051,,,,,2025-11-15
2024-03-31,2.9279,,,,,2025-11-15
2024-04-30,2.8262,,,,,2025-11-15
2024-05-31,2.6617,,,,,2025-11-15
2024-06-30,2.5484,,,,,2025-11-15
2024-07-31,2.5944,,,,,2025-11-15
2024-08-31,2.413,,,,,2025-11-15
2024-09-30,2.2608,,,,,2025-11-15
2024-10-31,2.4777,,,,,2025-11-15
2024-11-30,2.5878,,,,,2025-11-15
2024-12-31,2.7281,,,,,2025-11-15
2025-01-31,2.6074,,,,,2025-11-15
2025-02-28,2.7105,,,,,2025-11-15
2025-03-31,2.3594,,,,,2025-11-15
2025-04-30,2.2774,,,,,2025-11-15
2025-05-31,2.4581,,,,,2025-11-15
2025-06-30,2.5935,,,,,2025-11-15
2025-07-31,2.5967,,,,,2025-11-15
2025-08-31,2.7412,,,,,2025-11-15
2025-09-30,2.5136,,,,,2025-11-15
2025-10-31,2.2419,,,,,2025-11-15
2025-11-30,2.1246,,,,,2025-11-15
2025-12-31,,2.0855,2.1572,2.1892,2.1688,2025-11-15
2026-01-31,,2.0464,2.2038,2.2538,2.2208,2025-11-15
2026-02-28,,2.0073,2.2494,2.3184,2.2722,2025-11-15
2026-03-31,,1.9682,2.2927,2.3831,2.3224,2025-11-15
2026-04-30,,1.9291,2.333,2.4477,2.3709,2025-11-15
2026-05-31,,1.89,2.3695,2.5123,2.4172,2025-11-15
2026-06-30,,1.8508,2.4021,2.5769,2.4614,2025-11-15
2026-07-31,,1.8117,2.4307,2.6415,2.5033,2025-11-15
2026-08-31,,1.7726,2.4556,2.7062,2.5432,2025-11-15
2026-09-30,,1.7335,2.4774,2.7708,2.5814,2025-11-15
2026-10-31,,1.6944,2.497,2.8354,2.6183,2025-11-15
2026-11-30,,1.6553,2.5155,2.9,2.6546,2025-11-15
